date,station,temp_mean_c,temp_min_c,temp_max_c,dewpoint_mean_c,relative_humidity_mean,wind_speed_mean_mps,precipitation_mm,latitude,longitude,elevation_m,source_type
2019-01-01,IOW,-2.0991512345679015,-5.611111111111112,1.1111111111111112,-5.017361111111112,80.39166666666667,4.57303773707265,0.0,41.6394,-91.5445,204.0,public observation
2019-01-02,IOW,-4.9234182098765435,-6.722222222222223,-1.569444444444444,-8.016203703703704,79.35968749999999,3.8488137282051285,0.0,41.6394,-91.5445,204.0,public observation
2019-01-03,IOW,-1.703703703703704,-6.722222222222223,7.222222222222222,-5.810185185185186,74.91541666666667,2.1385700897435895,0.0,41.6394,-91.5445,204.0,public observation
2019-01-04,IOW,1.6458333333333333,-5.0,10.0,-2.4583333333333335,75.94916666666667,1.670294141025641,0.0,41.6394,-91.5445,204.0,public observation
2019-01-05,IOW,2.946759259259259,-1.722222222222223,11.666666666666666,-0.12962962962962987,81.89833333333333,1.7890119871794872,0.0,41.6394,-91.5445,204.0,public observation
2019-01-06,IOW,2.076388888888889,-1.1111111111111112,5.0,-0.15509259259259284,85.48833333333333,3.0796063839355092,0.0,41.6394,-91.5445,204.0,public observation
2019-01-07,IOW,7.420910493827161,3.888888888888889,11.11111111111111,5.72337962962963,89.15506944444445,5.942926011732712,11.684,41.6394,-91.5445,204.0,public observation
2019-01-08,IOW,3.2156635802469133,0.0,7.777777777777778,-0.9722222222222222,77.34024305555555,5.1316538481351985,0.0,41.6394,-91.5445,204.0,public observation
2019-01-09,IOW,-5.37962962962963,-8.88888888888889,0.5555555555555556,-12.137345679012347,59.112500000000004,8.085297756410258,0.0,41.6394,-91.5445,204.0,public observation
2019-01-10,IOW,-6.372685185185186,-8.88888888888889,-2.2222222222222223,-12.24074074074074,63.38916666666666,2.895671168803419,0.0,41.6394,-91.5445,204.0,public observation
2019-01-11,IOW,-3.5810185185185186,-6.722222222222223,0.5555555555555556,-8.104166666666666,71.1075,3.398298346153846,0.0,41.6394,-91.5445,204.0,public observation
2019-01-12,IOW,-1.1844907407407417,-1.722222222222225,-0.6111111111111119,-3.4290123456790123,85.13291666666667,4.351697538555807,6.35,41.6394,-91.5445,204.0,public observation
2019-01-13,IOW,-1.0052083333333337,-2.2222222222222223,0.0,-4.4594907407407405,77.68284722222222,4.925818562214053,0.254,41.6394,-91.5445,204.0,public observation
2019-01-14,IOW,-3.655864197530864,-7.4074074074074066,-1.1111111111111112,-5.829089506172839,85.19444444444444,2.711464831766382,0.0,41.6394,-91.5445,204.0,public observation
2019-01-15,IOW,-1.5671296296296298,-2.7777777777777777,1.1111111111111112,-2.7557870370370368,91.61583333333334,3.3315963678929768,0.0,41.6394,-91.5445,204.0,public observation
2019-01-16,IOW,-0.5410628019323673,-2.2222222222222223,1.6666666666666667,-4.277777777777779,76.00630434782609,3.7889976215034964,0.0,41.6394,-91.5445,204.0,public observation
2019-01-17,IOW,-1.043595679012346,-1.722222222222225,0.0,-3.372685185185185,84.54125,2.3923981030100334,0.0,41.6394,-91.5445,204.0,public observation
2019-01-18,IOW,-3.2781635802469133,-5.2037037037037015,-1.1111111111111112,-6.8553240740740735,76.29972222222223,3.6864452850961538,0.0,41.6394,-91.5445,204.0,public observation
2019-01-19,IOW,-6.565779320987654,-10.61111111111111,-3.430555555555554,-10.203510802469136,75.9153125,7.705219077938035,2.794,41.6394,-91.5445,204.0,public observation
2019-01-20,IOW,-14.085648148148147,-16.72222222222222,-9.38888888888889,-19.13888888888889,66.115,3.292084347222222,0.0,41.6394,-91.5445,204.0,public observation
2019-01-21,IOW,-13.773148148148147,-17.77777777777778,-8.277777777777779,-18.70138888888889,66.3425,4.376071717948718,0.0,41.6394,-91.5445,204.0,public observation
2019-01-22,IOW,-5.063657407407407,-9.38888888888889,-0.777777777777777,-7.95679012345679,80.41326388888889,4.527463471314102,1.27,41.6394,-91.5445,204.0,public observation
2019-01-23,IOW,-5.777777777777779,-10.0,-1.1111111111111112,-8.444251543209877,81.65191666666666,5.5694238169369035,3.048,41.6394,-91.5445,204.0,public observation
2019-01-24,IOW,-12.907021604938272,-18.88888888888889,-7.222222222222222,-15.810570987654321,79.536875,4.80072356923077,0.0,41.6394,-91.5445,204.0,public observation
2019-01-25,IOW,-18.76388888888889,-25.0,-13.88888888888889,-22.864583333333332,70.58375,4.0582934091880345,0.0,41.6394,-91.5445,204.0,public observation
2019-01-26,IOW,-18.551851851851854,-23.88888888888889,-11.722222222222221,-20.96720679012346,81.31968055555556,1.9147257064102565,0.508,41.6394,-91.5445,204.0,public observation
2019-01-27,IOW,-15.664351851851853,-22.77777777777778,-11.722222222222221,-18.34722222222222,80.04708333333333,2.559853557692308,0.0,41.6394,-91.5445,204.0,public observation
2019-01-28,IOW,-8.59502314814815,-12.777777777777779,-1.1111111111111112,-11.491319444444445,79.80909722222222,6.81202137542735,1.778,41.6394,-91.5445,204.0,public observation
