site_no,site_name,latitude,longitude,drainage_area_sqmi,source_type,year,mean_discharge_cfs,peak_discharge_cfs,low7_discharge_cfs
05453000,"Big Bear Creek at Ladora, IA",41.74944709,-92.1821267,189.0,public observation,2025,140.93479452054794,2670.0,20.042857142857144
05453100,"Iowa River at Marengo, IA",41.81272566,-92.064792,2794.0,public observation,2020,2332.6748633879783,14700.0,330.0
05453100,"Iowa River at Marengo, IA",41.81272566,-92.064792,2794.0,public observation,2021,931.2493150684932,4970.0,229.28571428571428
05453100,"Iowa River at Marengo, IA",41.81272566,-92.064792,2794.0,public observation,2022,1106.1068493150685,4900.0,166.57142857142858
05453100,"Iowa River at Marengo, IA",41.81272566,-92.064792,2794.0,public observation,2023,811.0419178082192,6170.0,87.0
05453100,"Iowa River at Marengo, IA",41.81272566,-92.064792,2794.0,public observation,2024,1657.0464480874316,16100.0,127.42857142857143
05453100,"Iowa River at Marengo, IA",41.81272566,-92.064792,2794.0,public observation,2025,2494.309589041096,12700.0,521.0
05453520,"Iowa River below Coralville Dam nr Coralville, IA",41.71529444,-91.5301667,3115.0,public observation,2020,2553.251366120219,10100.0,179.28571428571428
05453520,"Iowa River below Coralville Dam nr Coralville, IA",41.71529444,-91.5301667,3115.0,public observation,2021,1101.5397260273974,6700.0,152.57142857142858
05453520,"Iowa River below Coralville Dam nr Coralville, IA",41.71529444,-91.5301667,3115.0,public observation,2022,1222.2438356164384,5480.0,141.85714285714286
05453520,"Iowa River below Coralville Dam nr Coralville, IA",41.71529444,-91.5301667,3115.0,public observation,2023,897.3312328767124,5870.0,83.3
05453520,"Iowa River below Coralville Dam nr Coralville, IA",41.71529444,-91.5301667,3115.0,public observation,2024,1712.7964480874316,10200.0,104.64285714285714
05453520,"Iowa River below Coralville Dam nr Coralville, IA",41.71529444,-91.5301667,3115.0,public observation,2025,2485.591780821918,10300.0,314.14285714285717
05454000,"Rapid Creek near Iowa City, IA",41.70001667,-91.4876667,25.3,public observation,2020,24.12459016393443,412.0,0.8799999999999999
05454000,"Rapid Creek near Iowa City, IA",41.70001667,-91.4876667,25.3,public observation,2021,14.217643835616437,198.0,0.5457142857142786
05454000,"Rapid Creek near Iowa City, IA",41.70001667,-91.4876667,25.3,public observation,2022,17.103671232876714,1030.0,1.302857142857143
05454000,"Rapid Creek near Iowa City, IA",41.70001667,-91.4876667,25.3,public observation,2023,10.268575342465754,442.0,0.192857142857143
05454000,"Rapid Creek near Iowa City, IA",41.70001667,-91.4876667,25.3,public observation,2024,15.590901639344263,314.0,0.44428571428571434
05454000,"Rapid Creek near Iowa City, IA",41.70001667,-91.4876667,25.3,public observation,2025,11.760657534246576,93.3,1.3599999999999999
05454220,"Clear Creek near Oxford, IA",41.71834444,-91.7401722,58.4,public observation,2020,36.117786885245906,415.0,1.1228571428571428
05454220,"Clear Creek near Oxford, IA",41.71834444,-91.7401722,58.4,public observation,2021,31.114246575342467,345.0,2.1542857142857144
05454220,"Clear Creek near Oxford, IA",41.71834444,-91.7401722,58.4,public observation,2022,22.97487671232877,178.0,0.8214285714285714
05454220,"Clear Creek near Oxford, IA",41.71834444,-91.7401722,58.4,public observation,2023,11.638027397260274,365.0,0.2985714285714306
05454220,"Clear Creek near Oxford, IA",41.71834444,-91.7401722,58.4,public observation,2024,21.115300546448086,190.0,0.6514285714285714
05454220,"Clear Creek near Oxford, IA",41.71834444,-91.7401722,58.4,public observation,2025,27.293616438356164,240.0,3.847142857142857
05454300,"Clear Creek near Coralville, IA",41.67668056,-91.5987778,98.1,public observation,2020,73.05765027322404,923.0,3.2728571428571427
05454300,"Clear Creek near Coralville, IA",41.67668056,-91.5987778,98.1,public observation,2021,55.6813698630137,536.0,4.927142857142855
05454300,"Clear Creek near Coralville, IA",41.67668056,-91.5987778,98.1,public observation,2022,39.43449315068493,454.0,3.5400000000000085
05454300,"Clear Creek near Coralville, IA",41.67668056,-91.5987778,98.1,public observation,2023,26.62887671232877,812.0,2.8342857142857305
05454300,"Clear Creek near Coralville, IA",41.67668056,-91.5987778,98.1,public observation,2024,49.06948087431694,474.0,1.9200000000000002
05454300,"Clear Creek near Coralville, IA",41.67668056,-91.5987778,98.1,public observation,2025,45.21367123287671,470.0,5.4071428571428575
05454500,"Iowa River at Iowa City, IA",41.6566833,-91.541,3271.0,public observation,2020,2775.841530054645,10400.0,224.42857142857142
05454500,"Iowa River at Iowa City, IA",41.6566833,-91.541,3271.0,public observation,2021,1230.0301369863014,7910.0,184.42857142857142
05454500,"Iowa River at Iowa City, IA",41.6566833,-91.541,3271.0,public observation,2022,1437.731506849315,6770.0,172.14285714285714
05454500,"Iowa River at Iowa City, IA",41.6566833,-91.541,3271.0,public observation,2023,1030.673698630137,6480.0,89.3
05454500,"Iowa River at Iowa City, IA",41.6566833,-91.541,3271.0,public observation,2024,1896.9535519125684,10600.0,140.42857142857142
05454500,"Iowa River at Iowa City, IA",41.6566833,-91.541,3271.0,public observation,2025,2626.6849315068494,10700.0,293.2857142857143
05455100,"Old Mans Creek near Iowa City, IA",41.60640556,-91.6157222,201.0,public observation,2020,122.16931693989072,1990.0,6.835714285714286
05455100,"Old Mans Creek near Iowa City, IA",41.60640556,-91.6157222,201.0,public observation,2021,115.82794520547944,1260.0,11.242857142857146
05455100,"Old Mans Creek near Iowa City, IA",41.60640556,-91.6157222,201.0,public observation,2022,74.32153424657534,689.0,2.6714285714285713
05455100,"Old Mans Creek near Iowa City, IA",41.60640556,-91.6157222,201.0,public observation,2023,42.972986301369865,1150.0,1.6742857142857142
05455100,"Old Mans Creek near Iowa City, IA",41.60640556,-91.6157222,201.0,public observation,2024,77.8642349726776,1000.0,4.218571428571429
05455100,"Old Mans Creek near Iowa City, IA",41.60640556,-91.6157222,201.0,public observation,2025,87.94054794520548,1100.0,12.92857142857146
05455500,"English River at Kalona, IA",41.4697387,-91.7146129,574.0,public observation,2020,334.9795081967213,6250.0,16.228571428571428
05455500,"English River at Kalona, IA",41.4697387,-91.7146129,574.0,public observation,2021,327.90465753424655,2990.0,31.871428571428574
05455500,"English River at Kalona, IA",41.4697387,-91.7146129,574.0,public observation,2022,218.16890410958902,3480.0,9.834285714285715
05455500,"English River at Kalona, IA",41.4697387,-91.7146129,574.0,public observation,2023,95.53405479452054,2250.0,4.367142857142857
05455500,"English River at Kalona, IA",41.4697387,-91.7146129,574.0,public observation,2024,255.260218579235,3900.0,5.67
05455500,"English River at Kalona, IA",41.4697387,-91.7146129,574.0,public observation,2025,316.7709589041096,5360.0,40.4
05455700,"Iowa River near Lone Tree, IA",41.42377778,-91.4785278,4293.0,public observation,2020,3395.7868852459014,15900.0,332.85714285714283
05455700,"Iowa River near Lone Tree, IA",41.42377778,-91.4785278,4293.0,public observation,2021,1736.7013698630137,10800.0,285.85714285714283
05455700,"Iowa River near Lone Tree, IA",41.42377778,-91.4785278,4293.0,public observation,2022,1693.3671232876711,7900.0,200.0
05455700,"Iowa River near Lone Tree, IA",41.42377778,-91.4785278,4293.0,public observation,2023,1179.4164383561645,9450.0,145.57142857142858
05455700,"Iowa River near Lone Tree, IA",41.42377778,-91.4785278,4293.0,public observation,2024,2218.281420765027,12900.0,185.71428571428572
05455700,"Iowa River near Lone Tree, IA",41.42377778,-91.4785278,4293.0,public observation,2025,3188.461111111111,16200.0,514.2857142857143
05465500,"Iowa River at Wapello, IA",41.1780861,-91.1820917,12500.0,public observation,2020,11702.377049180328,55900.0,2444.285714285714
05465500,"Iowa River at Wapello, IA",41.1780861,-91.1820917,12500.0,public observation,2021,6157.260273972603,27400.0,2210.0
05465500,"Iowa River at Wapello, IA",41.1780861,-91.1820917,12500.0,public observation,2022,6641.095890410959,26100.0,1194.2857142857142
05465500,"Iowa River at Wapello, IA",41.1780861,-91.1820917,12500.0,public observation,2023,5022.164383561644,29400.0,1094.2857142857142
05465500,"Iowa River at Wapello, IA",41.1780861,-91.1820917,12500.0,public observation,2024,8733.103825136612,47800.0,952.2857142857143
05465500,"Iowa River at Wapello, IA",41.1780861,-91.1820917,12500.0,public observation,2025,10274.630136986301,41500.0,1974.2857142857142
