activity_id,date,site_id,characteristic_name,result_value,result_unit,sample_medium,activity_type,latitude,longitude,source_type
nwisia.01.94900005,1949-06-04,USGS-05454500,Specific conductance,404.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94700032,1947-07-04,USGS-05454500,"Temperature, water",24.0,deg C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94700032,1947-07-04,USGS-05454500,Specific conductance,371.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.90700025,1907-06-17,USGS-05454500,Turbidity,260.0,mg/l SiO2,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.90700025,1907-06-17,USGS-05454500,Nitrate,0.768,mg/L as N,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.00800161,2007-12-13,USGS-05454500,"Temperature, water",0.8,deg C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94400012,1944-05-11,USGS-05454500,Specific conductance,505.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94400008,1944-04-01,USGS-05454500,Specific conductance,505.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94800020,1948-04-02,USGS-05454500,Specific conductance,348.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94800020,1948-04-02,USGS-05454500,pH,7.2,std units,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94800020,1948-04-02,USGS-05454500,Nitrate,4.29,mg/L as N,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.00800161,2007-12-13,USGS-05454500,Specific conductance,633.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94700035,1947-07-15,USGS-05454500,"Temperature, water",26.0,deg C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94700035,1947-07-15,USGS-05454500,Specific conductance,435.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.95300017,1953-02-06,USGS-05454500,Specific conductance,249.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.95300017,1953-02-06,USGS-05454500,pH,7.1,std units,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94500034,1945-07-11,USGS-05454500,Specific conductance,553.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94400009,1944-04-11,USGS-05454500,Specific conductance,455.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
